xpath,field,machine_name,taxonomy,required,prefix,notes
record_identifier,record_identifier,field_record_source_id,,,,
title,title,field_full_title,,,,
originInfo/edition,edition,field_edition,,,,
originInfo/dateCreated,date,field_edtf_date,,,,
originInfo/dateIssued,date,field_edtf_date,,,,
originInfo/dateCaptured,date_notes,field_date_notes,,,Date Captured:,
originInfo/dateModified,date_notes,field_date_notes,,,Date Modified:,
originInfo/dateValid,date_notes,field_date_notes,,,Date Valid:,
originInfo/dateOther,date_notes,field_date_notes,,,Other Date:,
originInfo@display/dateOther,date_notes,field_date_notes,,,Display Date:,
originInfo/publisher,publisher,field_publisher_pitt,,,,
originInfo/place/placeTerm@code,place_published,field_place_published_pitt,MARC Countries,,,
originInfo/place/placeTerm@text,publication_place,field_place_publication,,,,
originInfo@publication/place/placeTerm@text,publication_place,field_place_publication,,,,
originInfo@publisher/place/placeTerm@text,publication_place,field_place_publication,,,,
originInfo@production/place/placeTerm@text,production_place,field_place_production,,,,
abstract,description,field_description_long,,,,
originInfo@producer/place/placeTerm@text,production_place,field_place_production,,,,
originInfo@distribution/place/placeTerm@text,distribution_place,field_place_distribution,,,,
originInfo@distributor/place/placeTerm@text,distribution_place,field_place_distribution,,,,
originInfo@manufacture/place/placeTerm@text,manufacture_place,field_place_manufacture,,,,
originInfo@manufacturer/place/placeTerm@text,manufacture_place,field_place_manufacture,,,,
originInfo/issuance,mode_of_issuance,field_mode_of_issuance,Mode of Issuance,,,
originInfo/frequency,frequency,field_frequency,,,,
subject/occupation,subject_topic,field_subject,,,,
subject/topic,subject_topic,field_subject,,,,
subject/geographic,subject_geographic,field_geographic_subject,Subject (Geographic),,,
subject/hierarchicalGeographic,subject_geographic,field_geographic_subject,Subject (Geographic),,,
subject/name@personal,subject_name_person,field_subjects_name,Person,,,
subject/name@corporate,subject_name_corporate,field_subjects_name,Corporate Body,,,
subject/name@conference,subject_name_conference,field_subjects_name,Conference,,,
subject/name@family,subject_name_family,field_subjects_name,Family,,,
subject/temporal,subject_temporal,field_temporal_subject,Subject (Temporal),,,
subject/titleInfo/title,subject_title,field_subject_title,Subject (Title),,,
subject/name,subject_name_untyped,,,,,
subject/genre,subject_genre,field_subject_genre,,,,
typeOfResource,type_of_resource,field_type_of_resource,Type of Resource,,,
genre,genre,field_genre,Genre,,,
physicalDescription/form,format,field_physical_form,Physical Form,,,
physicalDescription/extent,extent,field_extent,,,,
language/languageTerm@code,language,field_language,Language,,,
language/languageTerm@text,language,field_language,Language,,,
name_untyped,name_untyped,,,,,
contributor_untyped,contributor_untyped,,,,,
subject/cartographics/coordinates,coordinates,field_coordinates,,,,
subject/cartographics/projection,projection,field_projection,,,,
subject/cartographics/scale,scale,field_scale,,,,
identifier@isbn,isbn,field_isbn,,,,
identifier@issn,issn,field_issn,,,,
identifier@issn-l,issn,field_issn,,,,
identifier@oclc,oclc_number,field_oclc_number,,,,
identifier@issue/number,music_publisher_number,field_music_publisher_number,,,,
identifier@lccn,lccn,field_identifier,,,LCCN:,
identifier@matrix/number,music_publisher_number,field_music_publisher_number,,,,
identifier@music/plate,music_publisher_number,field_music_publisher_number,,,,
identifier@music/publisher,music_publisher_number,field_music_publisher_number,,,,
identifier,other_identifier,field_identifier,,,,
originInfo/copyrightDate,copyright_date,field_copyright_date,,,,
alternative_title,alternative_title,field_alternative_title_pitt,,,,
translated_title,translated_title,field_alternative_title_pitt,,,,
uniform_title,uniform_title,field_uniform_title,,,,
related_title_part_of,part_of,field_related_title_part_of,,,,
related_title_constituent,related_title_constituent,field_related_title_constituent,,,,
related_title_preceding,preceding_title,field_related_title_preceding,,,,
related_title_succeeding,succeeding_title,field_related_title_succeeding,,,,
related_title_other_format,related_title_other_format,field_related_title_other_format,,,,
related_title_original,related_title_original,field_related_title_original,,,,
related_title_other_version,related_title_other_version,field_related_title_other_versio,,,,
related_title_referenced_by,related_title_referenced_by,field_related_title_referenced,,,,
related_title,related_title,field_related_title,,,,
tableOfContents,table_of_contents,field_table_of_contents,,,,
note@address,address,field_addresses,,,,
note@streets,thoroughfares,field_thoroughfares,,,,
note@features,geographic_features,field_geographic_features,,,,
note@owner,land_grantor,field_land_grantor,,,,
note@preferred citation,source_citation,field_source_citation,,,,
note@statement of responsibility,statement_of_responsibility,field_statement_of_resp,,,,
note,note,field_note,,,,
note@acquisition,note,field_note,,,Acquisition:,
note@action,note,field_note,,,Processing:,
note@additional physical form,note,field_note,,,Other Format:,
note@bibliography,note,field_note,,,Bibliography:,
note@biographical/historical,note,field_note,,,Background:,
note@creation/production credits,note,field_note,,,Production Credits:,
note@date/sequential designation,note,field_note,,,Sequential Designation:,
note@donor,note,field_note,,,Donor:,
note@funding,note,field_note,,,Funding:,
note@language,note,field_note,,,Language:,
note@numbering,note,field_note,,,Numbering:,
note@original location,note,field_note,,,Original Location:,
note@original version,note,field_note,,,Original Version:,
note@ownership,note,field_note,,,Ownership:,
note@performers,note,field_note,,,Performers:,
note@preferred citation,note,field_note,,,Preferred Citation:,
note@publications,note,field_note,,,Publications:,
note@reproduction,note,field_note,,,Reproduction:,
note@system details,note,field_note,,,System Details:,
note@thesis,note,field_note,,,Thesis:,
note@venue,note,field_note,,,Venue:,
physicalDescription/note@arrangement,note,field_note,,,Arrangement:,
